NAME,CREDIT,ACADEMIC_TERM_ID
데이터프로그래밍기초와실습,3,23
도시에서 생태적으로 살아가기,3,23
도시지리학,3,23
독성학1,2,23
독일어(초급),3,23
돈황학,3,23
동계스포츠지도법,1,23
동국의역사와인물,1,23
동남아시아불교,3,23
동남아시아와불교문화,3,23
동물의마음:인간과의공존가능성,2,23
동물조직배양학,3,23
"동부유라시아와한국,갈등과교류의역사",3,23
동아시아대승불교,3,23
동아시아중세사,3,23
동양건축사,3,23
동양미술사,3,23
동양사강독,3,23
동양사연습,3,23
동양역사고전읽기,3,23
동양중세사,3,23
동양최근세사,3,23
동역학,3,23
드로잉2,2,23
드로잉연구2,2,23
디스플레이공학,3,23
디지털 광고 Analytics,3,23
디지털 기술과 사회의 이해(인문사회예체능계열),3,23
디지털 기술과 사회의 이해(자연공학계열),3,23
디지털 큐레이션,3,23
디지털교육,1,23
디지털금융과지급결제,3,23
디지털기술과미래역량,3,23
디지털다문화사회와AI,3,23
디지털마케팅,3,23
디지털매체와커뮤니케이션,3,23
디지털붓다와의대화,3,23
디지털시대의글쓰기,3,23
디지털시대캠페인의전략과적용,3,23
디지털실험,1,23
디지털역사문화콘텐츠(캡스톤디자인),3,23
디지털영상광고제작론,3,23
디지털영상처리,3,23
디지털영상편집입문,3,23
디지털음향편집입문,3,23
"디지털전환시대,삶의변화와불교휴머니티",3,23
디지털제조,3,23
디지털통신,3,23
디지털포렌식개론,3,23
디지털회로설계및실습,3,23
딥러닝,3,23
딥러닝응용,3,23
딥러닝입문,3,23
라틴어(초급),3,23
러시아어(초급),3,23
레크리에이션지도법,2,23
레트로 동아시아의 건축공간과 신화,3,23
로봇소재특론,3,23
로봇지능,3,23
로컬크리에이터,3,23
리더십,3,23
마이크로프로세서,3,23
마케팅 에스노그라피와 빅데이터 기반 디자인씽킹,1,23
마케팅리서치(NCS),3,23
마케팅원론(NCS),3,23
마케팅커뮤니케이션(캡스톤디자인),3,23
만해와근대지성,2,23
말은 마음이 지은 집,3,23
매스미디어일본어,3,23
매스컴사회통계학,3,23
매스컴이론,3,23
머신러닝2,3,23
머신러닝과데이터사이언스,3,23
멘토프로그램(국어선생님의길),1,23
멘토프로그램(리빙랩을 통한 협치 전문가 양성),1,23
멘토프로그램(미술관 탐방I),1,23
멘토프로그램(미술현장과담론),1,23
멘토프로그램(법조유사직역 이해),1,23
멘토프로그램(불교미술감상법),1,23
면역공학 및 실험,3,23
"명상,레벨업",3,23
명상과아동·청소년상담,3,23
모더니즘과현대건축,3,23
모바일소프트웨어,3,23
모바일프로그래밍,3,23
목조,2,23
무기화학2,3,23
무기화학실험,3,23
무브먼트2,2,23
무역영어,3,23
무역중국어,3,23
무역통계분석,3,23
문자로읽는아시아의문화와사상,3,23
문학공간과불교,3,23
문학과영상번역,3,23
문학교육론,3,23
문학연구방법,3,23
문학자료의 디지털 정보화 연습,3,23
문화가치의체험과창작,3,23
문화경제학1,3,23
문화기획서작성,3,23
'문화'로읽는우리시대,3,23
문화사회학,3,23
문화예술과마케팅,3,23
문화와역사로읽는도시,3,23
문화와예술명작세미나,3,23
문화와커뮤니케이션,3,23
문화유산개론,3,23
문화유산관리론,3,23
문화유산보존복원심화실습(캡스톤디자인),2,23
문화유산의활용과정비,3,23
문화자원학과문화산업,3,23
문화정보와공공역사,3,23
문화지리학,3,23
물권법,3,23
물리교재연구및지도법,3,23
물리약학1,3,23
물리연구프로젝트2,3,23
물리전자공학2,3,23
물리학개론,3,23
물리학과 알고리즘,3,23
물리화학(양자화학),3,23
물리화학2,3,23
"물품과도구,기술로읽는세계사",3,23
물품의글로벌히스토리,3,23
뮤지컬보컬2,2,23
뮤지컬보컬4,2,23
뮤지컬보컬6,2,23
뮤지컬연기2,3,23
미국대중문화읽기,3,23
미국소수민족문학과문화,3,23
미국의지적전통과불교,3,23
미디어법과윤리,3,23
미디어스토리텔링,3,23
미디어연구1,2,23
미디어와 예술철학,3,23
미디어이슈와토론,3,23
미래글로벌지도자로서의말의힘,3,23
미래기술문명사회에서 호모루덴스들의 놀이여행,3,23
미래도시와로컬크리에이팅프로젝트,2,23
미래의문화트렌드와콘텐츠,3,23
미래인간과위험사회,2,23
미래환경과위험사회,2,23
미분기하2,3,23
미분방정식및연습,3,23
미술교재연구및지도법,3,23
미시경제원론,3,23
미시경제학Ⅰ,3,23
미시경제학Ⅱ,3,23
미적분학및연습1,3,23
미적분학및연습2,3,23
민간경비론,3,23
민사소송법,3,23
민주주의와시장경제,2,23
바이러스학,3,23
바이오메디컬 신호처리시스템,3,23
바이오메디컬프로그래밍2,3,23
바이오환경과학2,3,23
바이오환경산업,3,23
박물관과소장품,3,23
반도체계측및평가실습,3,23
반도체공정,3,23
반도체공정및실습2,3,23
반도체공학,3,23
반도체물리전자,3,23
반도체물성분석,3,23
반도체소자공정(캡스톤디자인),3,23
반도체소자및실습2,3,23
반야사상,3,23
발레2,2,23
발림실습2,1,23
발림실습4,1,23
방송댄스,1,23
방송학개론,3,23
배구지도법,1,23
배드민턴,1,23
번역학입문,3,23
범죄데이터분석고급,3,23
범죄데이터시각화(실습),3,23
범죄심리학,3,23
범죄예방론,3,23
범죄자위험성평가,3,23
범죄지도,3,23
범죄프로파일링,3,23
범주형자료분석,3,23
법경제학,3,23
법논리학,3,23
법인세회계1,3,23
법인세회계2,3,23
법제사,3,23
법철학,3,23
법학개론,3,23
병원심화실무실습,12,23
병태생리학2,3,23
보이스2,2,23
보이스4,3,23
보험법,3,23
복소해석학2,3,23
복약지도론,2,23
복지행정론,3,23
부동산공법,3,23
부모교육론,3,23
부조리문학,3,23
북한연구방법론,3,23
북한의문학과예술,3,23
북한의사회와여성,3,23
북한의지도자와사상체계,3,23
북한일상생활연구세미나(캡스톤디자인),3,23
분산전원시스템,3,23
분석화학2,3,23
분석화학실험,3,23
분자생물학,2,23
불교교단사,3,23
불교교정처우론,3,23
불교도상과드로잉2,1,23
불교미술콘텐츠활용과실습(캡스톤디자인),2,23
불교사상과서양철학,3,23
불교사회경제사상,3,23
불교언해구결문헌안내,3,23
불교와 현대종교철학,3,23
불교와나무,2,23
불교와스토리텔링,3,23
불교와인간,2,23
불교유적유물의이해,3,23
불교윤리학,3,23
불교융합의공학설계및실습,3,23
불교음악개론2,2,23
불교음악실습2(기악성악한국실용음악),1,23
불교회화2(캡스톤디자인),4,23
불교회화4(캡스톤디자인),4,23
불교회화론,2,23
불교회화문양이론과실습2,1,23
불교회화사,3,23
불교회화실습2,2,23
불어(초급),3,23
브랜드관리(캡스톤디자인),3,23
브랜드와 사회,3,23
블록체인비즈니스응용,3,23
비교경찰제도론,3,23
비교민주주의론,3,23
비교사회학,3,23
비교정치(캡스톤디자인),3,23
비전설정과커리어플래닝,2,23
비주얼 미디어로 보는 동유라시아 근현대문화사,3,23
비즈니스데이터애널리틱스개론,3,23
비즈니스실무론,2,23
비즈니스인텔리전스,3,23
비즈니스프로그래밍,3,23
빅데이터관리,3,23
빅데이터분석,3,23
빅데이터와 인공지능의 이해(인문사회예체능계열),3,23
빅데이터와 인공지능의 이해(자연공학계열),3,23
빅데이터와비즈니스애널리틱스,3,23
빨리어입문,3,23
사고와표현,3,23
사람을 위한 미생물에 의한 미생물의 환경공정,1,23
사람의마음알기(나는너의마음을알고싶다),3,23
"사랑,우정,관용",2,23
사례관리론,3,23
사료강독3:아시아사교육자료강독,3,23
사물인터넷과범죄,3,23
사운드실습심화,3,23
사이버범죄론,3,23
사이버비행과교정처우,3,23
사회과학전공자를위한머신러닝입문,3,23
사회보장법,3,23
사회복지법제와실천,3,23
사회복지실천기술론,3,23
사회복지역사,3,23
사회복지와문화다양성,3,23
사회복지조사론,3,23
사회복지학개론,3,23
사회복지행정론,3,23
사회복지행정정책캡스톤디자인,3,23
사회복지현장실습,3,23
사회복지현장실습세미나,3,23
사회봉사1,1,23
사회봉사2,1,23
사회심리학,3,23
사회조사방법,3,23
사회주의의이론과체제,3,23
사회학개론,3,23
산업AI,3,23
산업보안경영,3,23
산업보안기술,3,23
산업보안론,3,23
산업수학,3,23
산업시스템공학종합설계,3,23
산업조직론,3,23
산학융합종합설계(게이미피케이션 정치 교육전문가과정),1,23
산학융합종합설계(미술관 탐방II),1,23
삶과죽음의철학,3,23
삼국유사와스토리텔링,3,23
상법1,3,23
상업교재연구및지도법,3,23
색채와 과학,3,23
생명공학,3,23
생명과학세미나,1,23
생명과학의세계,1,23
생명과학전공실험2,3,23
생명과학캡스톤디자인2,2,23
생물교재연구및지도법,3,23
생물약제학및약동학,3,23
생물의약품학,2,23
생물의학,3,23
생물재료물성학,3,23
생물정보학,3,23
생물학개론,3,23
생물학공용DB를이용한데이터프로세싱,3,23
생애주기영양,2,23
생약학2,3,23
생존분석,3,23
생체의학공학,3,23
생체전달설계및응용,3,23
생태공학및실습,3,23
생태학,3,23
생화학,3,23
생활설계와직업,3,23
생활속의이차전지,2,23
생활지도및상담,2,23
서구문학에나타난문제적인간읽기,3,23
서베이앤데이터사이언스캡스톤디자인,3,23
서비스운영관리,3,23
서양건축사,3,23
서양고대사,3,23
서양근세사,3,23
서양근세철학사,3,23
서양근현대사,3,23
서양복식문화사,3,23
서양사강독,3,23
서양사연습,3,23
서양현대사,3,23
선거제도의이해(캡스톤디자인),3,23
선문화론,3,23
선물옵션,3,23
선심리상담이론과실제(캡스톤디자인),3,23
선의이해,3,23
선진유가철학,3,23
선형대수2,3,23
선형대수학2,3,23
설치미술연구2,2,23
설치와매체(캡스톤디자인),2,23
성의과학,3,23
세계문학속의인권,3,23
세계사교육세미나,3,23
세계영화사2,3,23
세계음식의문화적이해,3,23
세계종교,3,23
세계지리,3,23
세라믹재료,3,23
세무입문,3,23
세무회계특강,3,23
"세상을이해하는도구,통계",3,23
세포배양공학및실험,3,23
세포학및실험,3,23
센서응용공학,3,23
소년사법과보호,3,23
소득세회계,3,23
소비와교역의문화사,3,23
소비인사이트,3,23
소비자교육,3,23
소비자의사결정,3,23
소비자행동론(NCS),3,23
소설창작실기2(캡스톤디자인),3,23
소설창작실기3,3,23
소설창작연습2,3,23
소설창작입문2,3,23
소셜벤처,3,23
소셜애널리틱스,3,23
소셜이노베이션을위한질적데이터분석실습(캡스톤디자인),3,23
소재물리학,3,23
소조2,2,23
소조4(캡스톤디자인),2,23
소조6(캡스톤디자인),2,23
"소통,미디어,윤리",2,23
소프트 로보틱스,3,23
소프트웨어공학,3,23
수리논술,3,23
수리물리학2,3,23
수리통계학2,3,23
수리확률론,3,23
수묵채색화2,2,23
수묵화2,2,23
수사심리학,3,23
수와물리로본예술의세계,2,23
수치해석,2,23
수학과통계의이해,2,23
수학교육사,3,23
수학교재연구및지도법,3,23
수학적문제해결교육,3,23
숲에서찾는바이오나노재료의이해,2,23
스마트건설융합개론,3,23
스마트약학,2,23
스마트팩토리개론,3,23
스마트홈IoT시스템설계및지식재산권,3,23
스타트업과디지털마케팅,2,23
스타트업과진로탐색,2,23
스페인어(중급),3,23
스페인어(초급),3,23
스포츠 현장 연구,3,23
스포츠멘토링1,2,23
스포츠멘토링2,2,23
스포츠멘토링3,2,23
스포츠문화와역사,2,23
스포츠문화와예술,2,23
스포츠사회학,3,23
스포츠산업의 변화와 이노베이션,3,23
스포츠상해및재활,2,23
스포츠생체역학,2,23
스포츠시설운영및관리,2,23
스포츠영양학,2,23
스포츠와4차산업,2,23
스포츠와미디어,2,23
스포츠융복합세미나,3,23
스포츠전문영어,2,23
스포츠정책및조직론,2,23
스포츠지도자리더십,2,23
스포츠코칭,2,23
스포츠클라이밍,2,23
스포츠테이핑,1,23
스포츠통계,2,23
스포츠헬스케어,2,23
스피치커뮤니케이션,3,23
시계열해석,3,23
시사영어,3,23
시사한국어1,2,23
시사한국어2,2,23
시스템반도체설계및실습,3,23
시스템소프트웨어,3,23
시와예술적상상력,3,23
시장경제와위험사회,2,23
시창작실기2,3,23
시창작실기3,3,23
시창작연습2,3,23
시창작입문2,3,23
시창청음2,1,23
식물생리학,3,23
식물생화학,3,23
식생활관리,3,23
식품가공학2,3,23
식품거시및무역론,3,23
식품경영전략세미나,3,23
식품경영회계,3,23
식품경제원론,3,23
식품대사학,3,23
식품면역학,3,23
식품미생물학,3,23
식품바이오융합공학의세계,1,23
식품분석실험,3,23
식품산업의이해,3,23
식품산업조직론,3,23
식품안전관리론,3,23
식품안전성학,3,23
식품엔지니어링,3,23
식품유통론,3,23
식품정책론,3,23
식품포장특론,3,23
식품환경경영론,3,23
신경생물학,3,23
신소재공학개론2,3,23
신재생에너지,3,23
신지식재산권법,3,23
신호및시스템,3,23
신호와시스템,3,23
신호해석,3,23
실내악(민속음악)2,1,23
실내악(창작음악)2,1,23
실내악(풍류음악)2,1,23
실무통번역연습,3,23
실용음악실습2,1,23
실전농구초급,1,23
실전야구초급,1,23
실전축구초급,1,23
실천윤리학,3,23
실해석,3,23
실험계획법,3,23
실험영화캡스톤디자인,3,23
심리검사,3,23
심리측정및평가,3,23
심리학의거장을만나다:인간의생각에대한이해,3,23
심층기계학습,3,23
심화프로그래밍,3,23
아날로그집적회로,3,23
아동문학입문,3,23
아동발달심리,3,23
아동복지론,3,23
아랍어(초급),3,23
아메리카의사회와문화,2,23
아비달마,3,23
아시아의사회와문화,2,23
아태지역통상론,3,23
아프리카의사회와문화,2,23
악기론2,2,23
안전공학,3,23
안전및건강교육,3,23
안전및조직관리사례연구,2,23
안테나공학,3,23
알고리즘,3,23
알기쉬운반도체,1,23
암반및터널공학,3,23
암호론,3,23
암호학과네트워크보안,3,23
애그리비즈니스세미나,3,23
애니메이션실습,3,23
약리학2,2,23
약무행정심화실무실습,12,23
약물치료학3,3,23
약물치료학4,3,23
약사윤리와보건의약관계법규,3,23
약제학2,2,23
약품미생물학,3,23
약품생화학2,3,23
약학실습2,2,23
약학실습4,2,23
약학연구심화실무실습(캡스톤디자인),12,23
양자역학2,3,23
어드벤처디자인,3,23
언론법,3,23
"언어,뇌,해부",2,23
언어와다문화,3,23
"언어학교, 한국어실험실",3,23
업무용글쓰기실습,3,23
에너지물리학,3,23
에너지원의발달역사,2,23
에너지학개론,2,23
에너지화학공학개론,3,23
엔터테인먼트 광고.PR,3,23
엣지컴퓨팅서비스,3,23
여가및레크리에이션,2,23
여래장의이해,3,23
여행지리와도시산책,3,23
역사교재연구및지도법,3,23
역사논리및논술,3,23
역사자료의 이해와 활용,3,23
역사학과빅데이터,3,23
역학2,3,23
연구논문지도2,2,23
연극사2,3,23
연극영화교재연구및지도법,3,23
연극을통한영어연습,3,23
연기2,3,23
연기4,3,23
연기6,3,23
연기와창의적사고,3,23
연소공학,3,23
연소와연료전지,3,23
연애학개론,3,23
연주발표2,1,23
연주표현실습2,1,23
연출2,2,23
연출4(어드벤처디자인),2,23
열및물질전달,3,23
영문학과신화이야기,3,23
영문학속의AI,3,23
영미문학과공연예술,3,23
영미문화연구,3,23
영미정치사회철학,3,23
영상미학분석,3,23
영상연구2,2,23
영상예술과예술비평,3,23
영상제작과정의이해,3,23
영상처리,3,23
영상콘텐츠제작연습(PBL),3,23
영어교재연구및지도법,3,23
영어권문화상품탐방,3,23
영어권문화와청취,3,23
영어데이터통계분석기초,3,23
영어문화의세계,3,23
영어와자연어처리,3,23
영어화용론과번역,3,23
영화로만나는문화심리학,2,23
영화속클래식음악,3,23
영화제작워크숍2,3,23
영화홍보마케팅,3,23
예방약학2,2,23
예술경영과창업,2,23
예술과경영의만남,2,23
예술하는AI-기술이묻고예술이답하다,2,23
오디션,3,23
오랑캐의세계사:동아시아에서동부유라시아로,3,23
오리엔탈리즘과불교,3,23
오케스트라2,3,23
오페라속범죄학,3,23
오픈소스소프트웨어실습,3,23
오픈소스소프트웨어프로젝트,3,23
외교정책과국제정치,3,23
외국인을위한대학글쓰기,3,23
외국인을위한초급일본어작문,3,23
외국조리,2,23
외식산업경영세미나,3,23
외환정책론,3,23
요가,1,23
요가&필라테스,1,23
"우주시대,우주산업",2,23
운동기능지도법2,1,23
운동발달및학습,2,23
운동생리학,3,23
운동처방론,2,23
운동학습및심리,3,23
운영관리,3,23
원가·관리회계입문,3,23
원가회계,3,23
웨이트트레이닝,1,23
웹백엔드,3,23
웹서비스보안,3,23
웹콘텐츠기획과제작연습,3,23
위빠사나의이해와실습,3,23
위상수학2,3,23
위성영상분석과GeoAI,3,23
유기구조결정방법의이해,3,23
유기작용기화학,3,23
유기재료2,3,23
유기전자재료와응용,3,23
유기합성화학,3,23
유기화학2,3,23
유네스코 유산으로 떠나는 불교문화 여행,3,23
유도지도법,1,23
유럽의사회와문화,2,23
유럽정치론,3,23
유전체학,3,23
유체역학,3,23
유통물류관리,3,23
유통전략,3,23
윤리경영,3,23
융복합적 종교심리와 경전해석,3,23
융합보안캡스톤디자인,3,23
융합신소재기초실험1,3,23
융합인문학과문학교육(캡스톤디자인),3,23
융합캡스톤디자인,3,23
융합콘텐츠산업과 캐릭터,3,23
융합콘텐츠제작,3,23
융합프로그래밍,3,23
융합환경과학의이해,1,23
음악산업의 문화경제,2,23
음악즐기기,2,23
응용물리학,3,23
응용미생물학,3,23
응용범죄학,3,23
응용생화학,3,23
응용수치해석및실습,3,23
응용재료역학,3,23
응용지형학,3,23
의료사회복지론,3,23
의미와화용교육론,3,23
의복재료학,3,23
의사결정시스템,3,23
의생명공학입문,1,23
의생명기기분석및실험,3,23
의생명데이터분석프로그래밍,3,23
의약품분석1,3,23
의약품합성학2,2,23
의약화학2,2,23
의용계측기기설계실험,3,23
이방인・신・괴물:나와타자의이해,3,23
이산수학,3,23
이슈및위기관리론,3,23
이야기와 노래,3,23
이차전지산업동향,2,23
이차전지산학연세미나,2,23
이차전지소재,3,23
이차전지시스템개론,3,23
이차전지이론,3,23
인간과우주,3,23
인간관계와의사소통,3,23
인간행동과사회환경,3,23
인공지능,3,23
인공지능 시대의 윤리,3,23
인공지능(AI)법,3,23
인공지능과 미래사회,2,23
인공지능과수학,3,23
인공지능과통신기술,3,23
인공지능생물학,3,23
인공지능수학,3,23
